epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1617,0.95457,3.46176,1.3014,0.01381,0.5765,0.22831,0.16535,0.74803,3.71128,1.13441,0.00034441,0.00034441,0.00034441
2,25.4848,0.89203,2.03897,1.25226,0.97078,0.16127,0.33605,0.24393,0.95938,3.39307,1.38401,0.000665283,0.000665283,0.000665283
3,37.3406,0.96477,1.7827,1.30279,0.65188,0.21004,0.20341,0.11435,1.47422,3.04732,2.41325,0.00095096,0.00095096,0.00095096
4,49.4796,0.98978,1.53861,1.30475,0.8092,0.36921,0.41528,0.29377,1.00305,1.67843,1.4978,0.000946016,0.000946016,0.000946016
5,61.7203,0.91885,1.30815,1.26046,0.73625,0.3463,0.37773,0.25397,1.04745,1.77254,1.47966,0.000891022,0.000891022,0.000891022
6,74.2036,0.90854,1.21858,1.24653,0.71927,0.38625,0.41337,0.29373,1.04476,1.87684,1.44071,0.000836027,0.000836027,0.000836027
7,85.9731,0.87886,1.11018,1.23425,0.8699,0.42426,0.53645,0.40643,0.85528,1.21038,1.32493,0.000781033,0.000781033,0.000781033
8,97.8701,0.84373,1.01261,1.2189,0.73823,0.56558,0.57222,0.4198,0.85819,1.03611,1.32724,0.000726038,0.000726038,0.000726038
9,109.74,0.81114,0.91678,1.19064,0.84159,0.55137,0.58796,0.44863,0.80757,0.92258,1.2853,0.000671044,0.000671044,0.000671044
10,121.616,0.81924,0.8971,1.20629,0.71994,0.5867,0.58833,0.45019,0.80577,0.95013,1.27283,0.000616049,0.000616049,0.000616049
11,167.839,0.72754,0.90608,1.16015,0.86379,0.51721,0.55957,0.42144,0.8176,1.01846,1.26393,0.000561055,0.000561055,0.000561055
12,180.138,0.69849,0.83066,1.1489,0.81539,0.59276,0.63002,0.48373,0.77448,0.83987,1.22382,0.00050606,0.00050606,0.00050606
13,192.435,0.65533,0.75858,1.12252,0.863,0.61131,0.64747,0.48845,0.77755,0.77687,1.22726,0.000451066,0.000451066,0.000451066
14,205.089,0.6485,0.72053,1.10774,0.82129,0.59324,0.60967,0.47505,0.72461,0.83006,1.20092,0.000396071,0.000396071,0.000396071
15,217.381,0.61337,0.68722,1.08935,0.80844,0.64436,0.65261,0.51713,0.70514,0.72384,1.18295,0.000341077,0.000341077,0.000341077
16,229.43,0.59981,0.63722,1.07429,0.79476,0.64055,0.63813,0.50894,0.712,0.75978,1.18549,0.000286083,0.000286083,0.000286083
17,242.128,0.56836,0.59736,1.06004,0.81631,0.63292,0.64921,0.50993,0.68721,0.73927,1.1532,0.000231088,0.000231088,0.000231088
18,254.245,0.54701,0.56588,1.03451,0.8002,0.62579,0.62976,0.49862,0.67839,0.78459,1.16073,0.000176094,0.000176094,0.000176094
19,266.728,0.52249,0.53298,1.01577,0.83265,0.65795,0.66653,0.53707,0.66954,0.67089,1.15294,0.000121099,0.000121099,0.000121099
20,279.158,0.50142,0.49999,1.01402,0.85471,0.65048,0.67021,0.53239,0.65657,0.66697,1.13508,6.61045e-05,6.61045e-05,6.61045e-05
