epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7113,0.92146,3.20127,1.27606,0.971,0.16267,0.30407,0.18026,0.93606,3.70804,1.45516,0.000363948,0.000363948,0.000363948
2,37.3017,0.96722,1.94727,1.33373,0.77448,0.39292,0.42292,0.28608,1.08333,2.05476,1.80908,0.000697935,0.000697935,0.000697935
3,54.7874,1.00704,1.685,1.3434,0.83996,0.44602,0.48029,0.34253,1.01054,1.44899,1.51166,0.000995258,0.000995258,0.000995258
4,72.1155,0.97777,1.49267,1.30903,0.66803,0.40859,0.46978,0.33234,0.99965,1.46289,1.452,0.000946016,0.000946016,0.000946016
5,89.1932,0.92142,1.34446,1.25857,0.73701,0.51706,0.53379,0.39586,0.92069,1.34328,1.41423,0.000891022,0.000891022,0.000891022
6,106.263,0.88118,1.17437,1.23276,0.81652,0.56958,0.61273,0.44211,0.91095,1.0495,1.36587,0.000836027,0.000836027,0.000836027
7,123.375,0.88968,1.09269,1.25745,0.67176,0.41809,0.45972,0.33893,0.85384,1.55163,1.3531,0.000781033,0.000781033,0.000781033
8,140.46,0.82944,1.03275,1.21839,0.70933,0.49198,0.5132,0.39082,0.87743,1.21996,1.36194,0.000726038,0.000726038,0.000726038
9,157.633,0.81793,0.97873,1.20584,0.82708,0.5426,0.5787,0.4446,0.7712,1.03653,1.26073,0.000671044,0.000671044,0.000671044
10,174.687,0.78223,0.87993,1.19933,0.80146,0.60909,0.61474,0.47832,0.80258,0.86694,1.28988,0.000616049,0.000616049,0.000616049
11,225.4,0.70303,0.90458,1.15338,0.80782,0.61287,0.6205,0.47334,0.8558,0.87303,1.31319,0.000561055,0.000561055,0.000561055
12,242.527,0.7006,0.84961,1.17222,0.79054,0.61015,0.61736,0.47495,0.79616,0.83354,1.26333,0.00050606,0.00050606,0.00050606
13,259.505,0.67049,0.75999,1.1509,0.83847,0.63069,0.63735,0.49912,0.75178,0.83643,1.22943,0.000451066,0.000451066,0.000451066
14,276.545,0.67467,0.72043,1.13009,0.85909,0.5931,0.64564,0.51187,0.72042,0.7739,1.20067,0.000396071,0.000396071,0.000396071
15,293.571,0.62237,0.69142,1.10229,0.88018,0.60425,0.65125,0.52022,0.704,0.7581,1.18642,0.000341077,0.000341077,0.000341077
16,310.596,0.61068,0.64412,1.10745,0.88018,0.60824,0.65853,0.52699,0.7364,0.78362,1.21761,0.000286083,0.000286083,0.000286083
17,327.57,0.58579,0.62394,1.07729,0.84407,0.61147,0.65301,0.53469,0.68192,0.7385,1.17893,0.000231088,0.000231088,0.000231088
18,344.656,0.57739,0.61477,1.07474,0.88398,0.59622,0.65763,0.53724,0.68617,0.70298,1.18878,0.000176094,0.000176094,0.000176094
19,361.746,0.53441,0.56299,1.04843,0.8618,0.61863,0.67261,0.54835,0.6749,0.6668,1.17841,0.000121099,0.000121099,0.000121099
20,378.701,0.51478,0.51969,1.03265,0.82097,0.65302,0.66525,0.54737,0.66465,0.66817,1.1736,6.61045e-05,6.61045e-05,6.61045e-05
